Taylor	Levanto	Kuelap	Choctamal	Lamud	La Jalca	Chaquíl-Trita	Cuemal	Huancas
achapaki					achapaki			
				achira				
			achira (2)		achira (2)			
		achuela						
achupa	achupa				achupa			achupa
						achupilla		
		adorote						
					aguapante			
	aguaymanta	aguaymanta	aguaymanta					
amanka[y]								
	ahingo						ahingo	
	airampo		airambo		airampo			airambo
							akñuka	
					akñuko			
		alamo					alamo	alamo
								allavin
					allko qorina			
								alko traki
								alko traki de temple
						amanga	chiwingo	
						amanga chica	amanga chica	
					andañaw			
					andara wayta			
	andaria							
	anil sacha					umarmanan grande		
						anillu kallpanan	anillo kuchpana	
ankukasha		anku kasha						
	anku sacha (1)			anku sacha (1)	anku sacha (1)			anku sacha amarilla
ankusacha		angu sacha (2)	ang sacha (2)	anku sacha (2)	anku sacha (2)			anku sacha (2)
				anku shillu				
								aqmandal
					aqinqo			
					arollka			
	asaro							
								asnaq tayo
					asosena rosado			
atadeqo					atadeqo			
								atako, yuyo
	atok talla, yawar wakangi					atuq taqanan		
		awas kaspi						
					avas sacha			
			santanvargas			santanvargas	santan vargas	avincho blanco
					ayar			
				aya manchana				aya manchana
								aya manchana del temple
								aya manchana yana
						aya rosa		
								ayal puka
aya waraka					aya waraka			
					aya ven			
	bequkillo					romero blanco	chufran sacha	
							borraqa	
					burburraqa			
								burro chupa
					burro rinrin	burro ringrin	burro ringrin	
								burro sauna
						burru shilshil	burru shilshil	
					bruqa llanta			
								caña del abuelo
chosu	chos	chos	chos		chosu	chos		chakachaka, chos
chamana	chamana (1)				chamana (1)			chamana
				chamana (2)				chamana blanca
chambur		chambor	chambur					
	chamiko							
			chamiko (2)					
				chamiko (3)				
				champilla			champita	
								chanka piedra de la sierra
chatavo	chatave 				chatavo			
chepe					chepe, kasha chiloso			
					chepesito			
	chia		chia sacha					
	chicherilla							
	chichka		chichka					
				chichka (2)				
	chichka brava (1)							
				chichka brava (2)				
			chikoria		chikoria	chikoria		
chillka	chilka	chilka		chillka	chillka	chillka		
		tuksi chillka	tuks chillka	tuks chillka		chillka negra	tuks chillka	chilka negra
		chillos						
chinchango	chinchango	chinchango	chinchango		chinchango, shashkibo		chinchanko	chinchango
								chinchimal
chinsiq					chinsiq			
					chipchi			
	chirimolla							chirimoya
		chirimoyilla						
					chishigan			
	chispa sacha							chispa sacha
	chitana							
					chiwanki rojo espinoso			
						amanga	chiwingo	
							chia sacha	
					chocho			
								chocho del diablo
						chonchshe		
chonta	chonta		chonta					
		choloke						
chosu	chos	chos	chos		choso	chos		chos, chakchaka
							choskal	
	chuela	chuela	chuela			chuela	chula	
								chufran
	bequkillu					romero blanco	chufran sacha	
					chuli			
	chullko	chulko, puchka sacha			chullke, kaña puchko			
					chullu tuwa			
				churru sacha				
	chullos							
					chusigan			
							chusk iskina	chusko eskina
								chusko eskina pequena
chustuwa							chullpi llamta	
	chusho							
				trinkish		kirilito	trinkish	
							diablu wayta	
								diego lope
						kinte shukuna (1)	dukup	
					durasnillu			
	flauta kaspi							
							foster sacha	
					galla galla			
					gallu wayta	gallu wayta	gallu wayta	
					gitarra klavun			
					guavo			
								guayava
gutrum								
					gulu'gulu			
						huetapu		
								igeron hojas pequenas
								igeron lapacho rojo
	igarilla			igrilla			igerilla	igrilla blanca, asul
íngil						ingil (1)		
	ingil (2)							
		ingil (3)						
			ingil (4)		ingil blanco			
						ingil chico		
					ingil chushito		ingil (7)	
			ingil (8)		ingil grande			
		ingil (9)						
	sarsa				iraka			
	ishanga  	ishanga	ishanga		ishanga			
	ishanga (2)							
								ishanga chica
								ishanga negra
ishpingu	ishpingo		ishpingo					
		ishpingo (2)						
itil	itil	itil				itil	itil	itil
	itil (2)							itil puka
				kachka llanten				
					kadillu			
					kafe sacha			kafe sacha
							kaitan	
								kalpincho
	kallampa		kallampa		kallampa	kallampa	kallampa	
kallmansana		kall mansanilla					kallu mansanilla	
				kasu arina				
kapchul	kapchul	kabshul						
								kaqto de lana vegetal
	karkeqa	karkeqa	karkeqa					
	kamia sacha							
					kaspi shingach			
chepe					kasha chiloso, chepe			
				kasha kiwa (1)				
						kasha kiwa (2)		
								kasha serraqa
						kayna willanki (1)	krus sacha	
					kayna willangi (2)			
								kicha sacha
						kill kasha	kill[V] kasha	killu kasha
						kill kasp	kill[V] kaspi	
killa satra					killa sacha			
							kill[V] wayta	
kinchu kuna							kinti wayta	
						kinti shukuna (1)	dukup	
							kinti shukuna (2)	
							kinua	
						kiril grande celeste		
						kirilito		
		kishke rinre		kishke rinre				
	kishual	kishual	kishual					
								kishual
				kikuwi				
				killu purpur				
							killki ringri	
kiwa								
								koban
						koka shala	koka shala	
kolinsatra								
						kondor mullaka	kondor mullaka	
					kondulin			
	kongona 							kongona
kongona	kongona (2)	kongona (2)	kongona (2)		kongona (2)	kongona grande		
							korral sacha	
		kortadera			kortadera	kortadera chica		
							krus sacha	
					kuchara kaspi			
							kuchi bisan	
							kuchi sacha	
kuchipsa		kuchipsa	kuchipsa					
	purpuru				purpuru		kushpayu	
						kuetashu	ku[ll]etashu	
						kuetapo		
			kuelinga		kuilinga blanco			
	kuikangana	kuikangana	kuikangana					
							kulantru sacha	
	kulen	kulen						
						kumar awarnin	shaqsha sacha	
						kuy chunchulnin		
		konoq	kunuq		konoq		tawer	
			kuqaka					
			kushe					
		sacha sebolla				lamanga		
	aliso						lambras	
lanche kaspi	lanche kaspi		lanche		lanche	lanche	lanche	lanche
					chushu lanche de kichua			
		lanche sacha						
							lansetilla	
								lapacho, morocho de temple
	lapa-lapa							
		layo						layu
					layu sacha			
						lech kasp	leche kaspi	
							leche sacha	
					lechugilla			
					lirio			
						loko sacha	loka kaspi	
								
lormikuna					loro mikuna			
		lundulu						
					luilipe			
luqma kaspi								
								luqmito
					llama miknillu			
					llama mikuna			
llamañaw					llamañaw			
llantén	llanten	llanten	llanten					
	kachka llanten		llanten lanudo	kachka llanten				
			llipe					
lluchilansa	lluichi lansa	lluichu lansa	lluichi lansa			lluichu waqan	lluichu lansan	lluichu lansa
	llui		llui	 	llui			
					lluine			
llushkip								lluqshiq
lluychkaspi								
lluy-piq					lluich kaspi			
						lluichu waskan		
						llullkete		
							llush kibo	
							mala isilla	
				mala yupa			mala yupa	
						manensillo		
mangapaki		manga paki			manka paki			
							mansana mullaka	
						mansanita		mansanita
			mari sacha		maria sacha			
	marko, shilshil macho			marko	markos			marko
						mashua de puru machu		
					matanga biquko			
	matiko	matiko	matiko				matiko	
								matiko de temple
					mati sacha			
								mat-mat
mawshín			maoshin					
					meu			
miki karaq								
			mishu					misha
							mituqsha	
miyu	miu-miu							miu-miu
								molle
		mora kaspi	mora kaspi		mora kaspi	mora kaspi		
	morocho (=chatave)		morocho			morocho	morocho	
								morocho qalkino
								morrerro
					motol			
					mot mullaka			
mukmuk					muko muko			
mullaka	mullaka	mullaka	mullaka		mullaka			
			mupa-mupa					
								mupa blanca
						mupa sacha	mupa sacha	mupa rosado
								mupa tunas pichana
		mushuñaw	mushuñaw					
						mut kasha	mut kasha	
		muyo						
						niñu willka	niño willka	
	nogal			nogal				nogal
	nunumia	lecha sacha			urqul			
	ñudillu	ñudillu	ñudillo		ñudillo	shallka kiwa	ñudillu	
					ñuka reba, reba reba	sarsilla sacha	sarsilla sacha	aretes
						ñulo	ñulo	
	oltasan (1)							
				oltasan (2)			oltasan (2)	
			olchuq (1)		olchuq (1)			
	olchoq (2)							
							ollivares	
olluq awar					olluq awar			
						padru kornu		
	oskon			osikon	paku kasha	qusmin	osikon	oskon negro
								oskon morado
		pakra (=chillos)	pakra					
	pakakunga							
					pak awar			
								pakay
				pak-pak				
								
		pakunga	pakunga		pakunga		pakunga	
								
pakurapra	paku rapra (1)							
		paku rapra (2)						
						paku rapra (3)	paku rapra (3)	
								paku rapra (4)
					pali			
	palpar				palpal	palpar	palpar	
						palpalillu		
	shuruvo kisha	palla-palla (1)						
			palla-palla (2)					
							pallkete	
								puka pallkete
				panga mito				
			papa karan					
	paquro		paquro	paquru				
					pasto venansio			
pate		pate						
patryaq					pachiaq			
	payko		payko		paiko			
payunga								
				perchador				
					palmet			
